景点名称,历史背景,文化特色,历史故事,主要景点,地理位置
鸡鸣寺,建寺时间：始建于西晋永康元年（300年），已有一千七百多年的历史。地理位置：位于南京市玄武区鸡笼山东麓，靠近玄武湖。历史地位：鸡鸣寺是南京最古老的梵刹之一，历史上被称为“南朝第一寺”，在南朝时期与栖霞寺、定山寺齐名，曾是佛教中心。寺庙香火旺盛，历经多个历史朝代的重修和扩建，承载着深厚的佛教文化和历史故事。,佛教文化：鸡鸣寺是中国佛教文化的重要发源地之一。自南朝梁武帝时期，鸡鸣寺成为佛教素食的起源地，寺内颁布的《断酒肉文》影响深远。寺内曾经有高僧菩提达摩、慧远等住持，具有深厚的佛教文化底蕴。建筑风格：鸡鸣寺内有多座著名建筑，包括大雄宝殿、观音楼、药师佛塔等，建筑风格典雅，融合了中国传统的佛教寺庙建筑特色。,南朝梁武帝舍身故事：南朝梁武帝在鸡鸣寺四次舍身，并在寺内颁布《断酒肉文》，为佛教素食的起源地。菩提达摩与鸡鸣寺：天竺高僧菩提达摩曾居住在鸡鸣寺，是中国佛教的开山祖师之一。重建与扩建：明朝洪武二十年（1387年），朱元璋下令重建鸡鸣寺，寺庙经历多次扩建，形成了今日规模。寺内曾供奉的白玉观音像、普济塔等也成为历史见证。《新白娘子传奇》拍摄：1992年，剧组因杭州雷峰塔重建未完成，将药师佛塔用作《新白娘子传奇》拍摄中的雷峰塔场景。,大雄宝殿，观音楼，药师佛塔，韦驮殿，志公墓，胭脂井，念佛堂，豁蒙楼，藏经楼,地址：南京市玄武区鸡鸣寺路1号。周边环境：鸡鸣寺位于鸡笼山东麓，附近有玄武湖等自然景观，提供一个宁静的游览和冥想空间。
老门东,始于三国时代，曾为东吴丹阳郡，形成了井然有序的街道布局。明朝时，因南京成为都城，南城门“聚宝门”旁繁华景象，保留了明清街道传统风貌。改革开放后，经过修复与改造，成为南京市民俗旅游的热点与城市商业副中心。2013年9月29日，修缮后的老门东正式对外开放，成为融合传统与现代的历史文化街区。,体现南京老城南的传统文化，保存着明清风貌的建筑和街区。多业态融合，传统文化与现代元素结合，成为开放式博物馆。民俗工艺、街头雕塑等体现南京传统民居生活。举办灯光秀、民俗工艺展示等文化活动。,门东牌坊：牌坊刻有关于南京历史文化的楹联，正面描绘了南京的历史沧桑，反面则展现了秦淮河的文化积淀。明城墙：朱元璋定都南京后，修建的城墙至今仍为世界第一大城垣。剪子巷：历史上为兵器仓库，后来因存储箭簇而得名，清代曾为书塾与慈善机构所在。积善里：与蒋氏家族有关，蒋寿山修桥铺路，行善积德，该地因此得名。,门东牌坊：雕刻精美，展现了丰富的历史和文化。明城墙：建于明朝，是中国现存规模最大的城墙。剪子巷：历史悠久，曾是兵器仓库，后来转为商业区。箍桶巷：以沈万三家族的箍桶匠而得名，是南京传统街巷的代表。边营、中营、三条营：三条历史文化街区，保留着清末民初的建筑风格。积善里：与蒋氏家族的善行有关，保存着蒋寿山的故居。上江考棚：曾为科举考试预试场，历史悠久。张家衙：抗倭将军张可大的府第遗址。新民坊：昔日贵人坊，后复建为街区。芥子园：清代文人李渔的园林，充满文人气息。傅善祥旧居：太平天国女状元的故居。惜抱轩：姚鼐故居，桐城派的代表建筑。,南京市秦淮区夫子庙街道剪子巷63-2号，位于中华门以东，夫子庙附近。
国民政府主席官邸旧址（俗称美龄宫）,建立时间：始建于民国二十年（1931年），竣工于民国二十一年（1932年）。用途：曾为国民政府主席蒋介石与其夫人宋美龄在南京的寓所，后成为江苏省高干疗养院、东郊宾馆等。保护级别：2001年6月25日，被中华人民共和国国务院公布为第五批全国重点文物保护单位。,建筑风格：融合中西文化，仿宫殿式建筑。建筑设计结合传统中国宫殿元素与西方现代风格，体现了民国时期的独特文化氛围。装饰细节：建筑屋顶覆有绿色琉璃瓦，雕刻1000多只凤凰，墙面和柱子上也雕刻有凤凰图案，体现出中西合璧的设计理念。环境设计：环形道路与周围法桐树相结合，形成了如同项链的景观，尽管这一设计传闻与历史事实有所出入，但成为了该景点的文化特色之一。,美龄宫传闻：有民间传言，称蒋介石为宋美龄34岁生日所建别墅，并且特意设计成“项链”形状。尽管这一说法充满浪漫色彩，但并无确凿证据支持。蒋宋生活：该官邸曾是蒋介石与宋美龄的度假休息地，蒋介石与宋美龄在这里度过了不少私人时光，成为民国历史中的重要象征。,主楼：三层重檐山式宫殿，具有极高的历史与艺术价值，内部包括大厅、客厅、大饭厅、卧室、餐厅等，装饰精美。车库：保留了一辆由美国总统赠送的美式别克牌轿车，曾是宋美龄的专车，具有很高的历史价值。环形道路与花园：庭园景观与建筑相得益彰，环形道路和法桐树搭配，成为了景区的亮点之一。,江苏省南京市玄武区中山陵9号
南京故宫,南京故宫是明朝的京师——应天府（南京）的皇宫，也被称为明故宫、紫禁城。它是世界上最大规模的宫殿建筑群之一，被誉为“世界第一宫殿”。南京故宫的建设始于元朝至正二十六年（1366年），并于明朝洪武二十五年（1392年）基本完工，历时26年。它遵循《周礼·考工记》中关于宫城布局的原则，体现了严格的礼制秩序。南京故宫是中国宫殿建筑的集大成者，后来成为北京故宫的设计蓝本，对中国明清官式建筑影响深远，也影响了其他亚洲国家的宫殿建筑（如韩国景福宫、越南顺化紫禁城等）。南京故宫建筑风格、装饰风格被视为明清官式建筑的母本，至今仍有影响。南京故宫在多次历史变迁中受损，包括明朝靖难之役后，清朝改为八旗驻防城，太平天国时期的战争破坏，及后期的自然灾害与战争。,建筑形制：南京故宫的建筑形式严格按照礼制秩序设计，宫城与皇城的布局展示了皇权的至高无上。南京故宫的宫殿布局、空间分配和建筑形制成为了后期北京故宫等地宫殿的设计蓝本。轴线布局：宫、城轴线合一的设计理念体现了南京特殊的地理条件，既符合礼制，又顺应自然。南京故宫建筑的整体布局、轴线和建筑风格深刻影响了中国宫殿建筑和园林设计的发展。风水设计：南京故宫选址基于堪舆学，选定“钟阜龙蟠”的风水宝地，具有重要的文化和历史象征意义。,建造过程：南京故宫的建设由朱元璋亲自监督，历时26年，采用了大量的劳动力。最初它被称为“吴王新宫”，后称“皇城”。南京故宫的建造不仅是明朝政治中心的象征，也代表了国家的威严与强盛。迁都历史：南京曾多次作为明朝的首都，后来由永乐帝朱棣下令迁都至北京。南京故宫在此之后仍作为留都使用，成为南京的象征。清朝入主后，南京故宫作为军事驻防使用，逐渐遭到破坏。太平天国和清朝的破坏：南京故宫在太平天国时期和清朝入主后遭受重创，许多建筑被毁，最终只剩下残垣断壁。,午门：南京故宫的正门，是皇城和宫城的分界线。奉天殿：是南京故宫中的重要宫殿，位于前朝，是皇帝举行朝会和祭天等重要仪式的地方。西安门：南京故宫的重要城门之一，象征着皇权的威严。乾清宫：后宫的重要宫殿，是皇帝和皇后及其他妃子的居住地。,位置：南京故宫位于南京市主城区的东部，地理坐标约为东经118.7935°，北纬32.0550°，周围由南京的其他历史建筑和自然景观环绕，尤其以紫金山为背景，形成了非常独特的文化和地理环境。周边：周围的历史和文化遗址，如明孝陵和中山陵，也在历史文化中占有重要地位。南京故宫周围的街区及周边设施如今是南京的重要旅游景点之一。
明孝陵,建立时间：明孝陵始建于明洪武十四年（1381年），是明朝开国皇帝朱元璋与其皇后孝慈高皇后的合葬陵墓。陵寝设计：明孝陵是明朝的第一座帝王陵寝，其设计为“前方后圆”格局，与唐宋帝陵不同，成为明清帝陵的标准模式。历史地位：明孝陵体现了明清时期的陵寝建筑艺术，并对后代的帝陵建筑风格产生了深远影响。文化遗产：1961年被列为全国重点文物保护单位，2003年被联合国列为世界文化遗产,陵寝制度的创新：明孝陵开创了“前方后圆”的格局，成为明清帝陵的标准，影响了后来的20多座帝王陵的设计。建筑艺术：明孝陵保留了陵寝原有建筑的真实性和空间布局的完整性，具有非常高的历史和艺术价值，是明清建筑艺术的代表作之一。保护和传承：明孝陵于清朝遭受战火摧残，但后期得到了修复，保留了许多历史遗存。,朱元璋与马皇后合葬：明孝陵是明太祖朱元璋和其发妻孝慈高皇后的合葬墓。朱元璋是中国历史上少数几位从平民起家最终建立大帝国的帝王之一，陵墓因此被赋予了浓厚的历史意义。明永乐时期的神功圣德碑：为了纪念其父朱元璋，明成祖朱棣在1413年为明孝陵立了神功圣德碑，碑文详细描述了朱元璋的功绩。战火中的毁坏与重建：明孝陵在清朝时期遭到太平天国的战火破坏，许多建筑被焚毁。直到清朝同治年间，由曾国藩领导的重建才恢复了部分建筑。,神道：神道是通向陵寝的道路，上面铺设有石刻雕像，包括石狮、麒麟、马等图腾物象。陵寝主体：包括碑殿、享殿、升仙桥、方城、明楼等建筑，均按照明朝的建筑风格精心设计。明功臣墓：周围有许多功臣墓，如吴良墓、李杰墓、邓愈墓、常遇春墓等，它们以环绕明孝陵的形式存在，显示出当时对忠臣的尊崇。,位置：位于江苏省南京市玄武区紫金山南麓，靠近独龙阜与珠峰下。占地面积：陵墓原有约170万平方米的巨大面积，四周有长达22.5公里的红墙，覆盖了巨大的园区。
南京城墙,始建时间：南京城墙始建于元至正二十六年（1366年），是明朝初年应天府都城的京城城墙。历史地位：它是中国现存规模最大的京城城墙，也是世界现存最长、规模最大、真实性最好的砖石构造城市城墙之一，是14世纪东亚筑城技术的典范。文化遗产：1956年被江苏省人民委员会公布为省级文物保护单位，1988年被国务院公布为第三批全国重点文物保护单位。,建筑风格：南京城墙采用了砖、石构造，具有较高的结构强度和坚固性。南京城墙具有强烈的防御功能，其设计与中国传统的“天象”文化有关，城门位置与星宿（“南斗”与“北斗”）有特殊关联，象征着皇权与百姓的关系。建筑技术：采用石灰混合浆，使墙体增高加厚，确保其坚固性。城墙设计有独特的瓮城结构，并配备有水关涵闸等水利设施，解决了水系问题并保障了城市的安全。特色设计：南京城墙不仅在主城门外设有瓮城，还在内城设置了复合型的内瓮城，这是中国传统城墙防御系统的创新。,“墙中墙”发现：2008年在南京下关的钟阜门段，考古人员发现了一段“墙中墙”结构，展示了六朝时期的城墙被明朝时期的城墙包裹，这一发现为南京城墙的历史提供了珍贵证据。战役与历史变迁：南京城墙见证了多个历史时期的变迁，如明朝洪武年间、清朝的修缮以及抗战时期的破坏等。遭遇破坏：在民国时期，城墙和城门多次因城市发展和战争而被拆除或破坏，其中包括南京在1937年经历的战争破坏，城墙部分被侵华日军炸毁。,中华门（聚宝门）：位于南京城南，是南京城墙的一座重要城门。历史上曾称聚宝门，现称中华门。城门建有内瓮城及城楼，并且保存了许多古老的军事防御设施。中山门（朝阳门）：位于南京城东，曾为朝阳门，后来改名为中山门。是南京城墙上著名的城门之一，改建后呈现出复式券门的结构。石城门：位于南京城西，是南京城墙的重要城门之一，曾被称为汉西门或旱西门。它建有内瓮城两座，是南京城墙的防御系统之一。清凉门（清江门）：位于南京城西，曾经历多次改建和修复。城门外的瓮城曾是南京城墙的一个重要防线。和平门（神策门）：位于南京城北，曾多次改名，是南京城墙防御系统的重要组成部分。其木门和城门结构经过特殊设计，具有重要的军事价值。,所在城市与省份：南京市，江苏省。具体位置：南京城墙环绕南京市区，具有显著的防御与象征性功能。其周围的城市结构与城墙的布局密切相关，具有历史文化重要性。
南京夫子庙,南京夫子庙始建于东晋咸康三年（337年），最初为学宫，后由北宋景祐元年（1034年）开始扩建为孔庙。它经历了多个历史阶段，曾几度遭到战火破坏，但每次都得到了恢复与重建。历史上，夫子庙不仅是南京的文化和教育中心，也是六朝至明清时期士族和文人的聚集地，素有“六朝金粉”的美誉。南京夫子庙是中国四大文庙之一，是孔子文化在南京的象征。,儒学文化：夫子庙是儒家文化的象征地之一，供奉着孔子及其弟子的塑像和牌位，历代的科举考试也在这里举行，展示了中国古代教育和文化传承的重要性。建筑风格：夫子庙建筑群融合了明清时代的风格，具有浓厚的传统文化特色。建筑群包括孔庙、学宫、贡院等，展现了中国传统的“前庙后学”布局。美食与民俗：夫子庙地区以丰富的南京地方小吃闻名，游客可在这里品尝到各种地方特色的传统小吃，如鸭血粉丝汤、南京盐水鸭、夫子庙小笼包等。,夫子庙不仅是一处祭孔的场所，还见证了南京悠久的历史与文化传承。自六朝至明清，夫子庙附近的秦淮河畔曾是文人雅集的场所，许多历史人物和文人曾在此留下诗文和故事。夫子庙周围还有许多与科举相关的历史记载，尤其是江南贡院的科举考试，见证了中国古代科举制度的辉煌。,大成殿：是夫子庙的主殿，供奉孔子的神位，周围设有石栏和露台，原是祭孔时的祭祀场所。棂星门：是孔庙的入口，具有重要的象征意义，是帝王出巡时的专用通道，造型古朴典雅。尊经阁：始建于明嘉靖年间，原为讲学和藏书之地，现在是秦淮彩灯馆和文物古迹陈列馆。江南贡院：是明清时期全国最大的科举考试场所，历史上曾接纳数万考生进行科举考试。如今，贡院内设有江南贡院历史陈列馆，展示科举制度的相关历史资料和实物。明远楼：明永乐年间建造，是贡院中的重要建筑，现为江南贡院历史陈列馆的一部分。,南京夫子庙位于南京市秦淮区秦淮河风景区，临近南京著名的秦淮风光带。夫子庙的位置优越，周围是南京的文化核心区，距离南京的许多历史景点和商业区非常近。地址：南京市秦淮区秦淮河北岸，贡院街以西
南京总统府,南京总统府历史悠久，已有600多年的历史。最早可追溯至明朝初年的归德侯府和汉王府。清朝时期，成为江宁织造署、两江总督署，曾是康熙和乾隆南巡的行宫。1853年，太平天国定都天京，改建为天王府。之后，1912年，孙中山在此宣誓就职为中华民国临时大总统，后成为南京国民政府总统府。经过多次历史变迁，南京总统府在民国时期成为多个重要政治机构的办公地点，并经历了多次重建和扩建，成为中国近代历史的重要遗址之一。,南京总统府融合了中国古代传统建筑风格与西方建筑风格。它是中国近代建筑的一个典型代表，展示了江南园林的美学与西式建筑的影响。作为多个重要历史事件的发生地，南京总统府有着深厚的政治文化背景。它见证了清朝的衰败、太平天国的兴衰、以及中华民国的诞生和发展。,孙中山在南京总统府宣誓就职为中华民国临时大总统，标志着中华民国的成立。该地也是太平天国定都天京后建设天王府的地方，曾见证过太平天国的兴衰。南京解放后，仍然作为政府办公场所，直到近代才转型为博物馆，展示中国近代史。,南京总统府门楼：以其独特的建筑风格和历史意义为重要景点。子超楼：南京总统府内最重要的建筑，体现了当时的钢筋混凝土结构和中西合璧的建筑风格。煦园和复园：反映了传统江南园林的风格。孙中山临时大总统办公室：作为孙中山的重要历史活动场所，具有重要的历史意义。太平天国天王府遗址：展示了太平天国时期的历史遗迹。东花园和西花园：展示了总统府的庭院和园林美学。,位于南京市玄武区长江路292号，交通便利，靠近南京市中心。
玄武湖,形成原因：玄武湖是长江古秦淮河道遗留下来的一部分，是通过地质构造和古河道改道等因素形成的天然湖泊。它位于南京的钟山（紫金山）北麓，周围多次地质断裂和人类活动影响，使得湖泊不断演变。历史演变：历史上玄武湖曾与长江相连，六朝时期是皇家园林和水军训练的场所，明代时期也是重要的国家档案保存地。民国时期，玄武湖作为公园对外开放。,玄武湖是江南三大名湖之一，因其历史背景、自然景观和生态功能，享有“金陵明珠”的美誉。其为皇家园林湖泊，拥有多个文化遗址，如北阴阳营、锁金村等。湖区还被称为“六朝皇家园林”和“江南最大的城内公园”。,玄武湖曾是六朝时期的皇家园林湖泊，是皇帝和贵族们的休闲和操练水军的场所。明代玄武湖是保存国家档案的地方，至今仍有历史遗迹，如明城墙、武庙闸等。玄武湖区也有古文化遗址，反映出这一地区在不同历史时期的文化活动。,五洲：梁洲、环洲、菱洲、翠洲、樱洲（湖内五个小岛，景观各具特色）情侣园、白马公园、九华山、鸡鸣寺、台城、南京明城墙、武庙闸、环湖路等景点级别：AAAA级,位置：位于江苏省南京市玄武区，东枕紫金山，西靠明城墙，南邻覆舟山，北邻南京站。
雨花台烈士陵园,雨花台烈士陵园始建于1950年，是中华人民共和国成立后建立最早、规模最大的国家级烈士陵园。1927年到1949年间，国民党反动派在雨花台杀害了大量革命志士和人民群众，包括恽代英、邓中夏、罗登贤等烈士。该地点曾是多个反动势力在南京的执刑场，用于集中屠杀全国各地的革命志士，具有重要历史意义。,该陵园是一个以缅怀革命先烈为目的的文化遗址，象征着革命烈士的精神与牺牲，强调英勇不屈、视死如归的英雄气概。通过一系列建筑、雕塑和纪念碑，传承着革命历史和烈士的英勇事迹。,从民国十五年（1926年）到1949年，雨花台见证了大量革命烈士的牺牲，其中包括共产党人、共青团员、左派人士和各界进步人士。在这些烈士中，有些人如恽代英、邓中夏、罗登贤等都在雨花台英勇就义，成为民族英雄。,南大门：陵园的主要入口。忠魂亭：位于中轴线南端，用花岗石砌成，江泽民题写“忠魂亭”三字。忠魂广场：位于忠魂亭和雨花台烈士纪念馆之间，地面由金刚砂石铺设，面积约3000平方米。雨花台烈士纪念馆：位于主峰南侧，是一座综合性博物馆，陈列有烈士的遗物、遗像和文物史料。雨花台烈士纪念碑：位于主峰峰顶，高42.3米，寓意南京解放。北殉难处烈士大型雕像：位于北大门，高10.03米，宽14.2米，象征革命烈士忠魂永垂。,位于江苏省南京市雨花台区雨花路215号，属于南京市的一个重要革命纪念地。
